"Title","PubDate","Guid","EnclosureUrl","EnclosureLength","LocalAudioFile"
"Water to Living Water","Sun, 05 Jul 2026 18:51:49 +0000","https://www.fillmorechristian.org/episode/water-to-living-water/","https://www.fillmorechristian.org/media/2026-07-05-water-to-living-water.mp3","30954901","audio/2026-07-05-water-to-living-water.mp3"
"The Father's Offensive Grace","Sun, 21 Jun 2026 15:00:00 +0000","https://www.fillmorechristian.org/episode/the-fathers-offensive-grace/","https://www.fillmorechristian.org/media/2026-06-21-the-fathers-offensive-grace.mp3","31104913","audio/2026-06-21-the-fathers-offensive-grace.mp3"
"Zeal for the True Temple","Sun, 07 Jun 2026 16:50:49 +0000","https://www.fillmorechristian.org/episode/zeal-for-the-true-temple/","https://www.fillmorechristian.org/media/June-7-2026-John-2-13-22-Wake-Sermon.mp3","29088420","audio/June-7-2026-John-2-13-22-Wake-Sermon.mp3"
"Calling of the Disciples Charles Spurgeon","Sun, 24 May 2026 16:34:53 +0000","https://www.fillmorechristian.org/episode/calling-of-the-disciples-charles-spurgeon/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/05/May-24-2026-Charles-Spurgeon-John-1-35-51.mp3","32946373","audio/May-24-2026-Charles-Spurgeon-John-1-35-51.mp3"
"The Faithful Son in the Wilderness","Sun, 17 May 2026 16:26:50 +0000","https://www.fillmorechristian.org/episode/the-faithful-son-in-the-wilderness/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/05/May-17-2026-Luke-4-1-13-Wake-sermon.mp3","31741018","audio/May-17-2026-Luke-4-1-13-Wake-sermon.mp3"
"From Egypt to the Jordan","Sun, 26 Apr 2026 16:37:14 +0000","https://www.fillmorechristian.org/episode/from-egypt-to-the-jordan/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/04/April-26-2026-From-Egypt-to-the-Jordan.mp3","27131931","audio/April-26-2026-From-Egypt-to-the-Jordan.mp3"
"The Reading of the Law Nehemiah 8","Sun, 08 Mar 2026 16:28:35 +0000","https://www.fillmorechristian.org/episode/the-reading-of-the-law-nehemiah-8/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/03/March-8-2025-Nehemiah-9-Wake-Sermon.mp3","33643726","audio/March-8-2025-Nehemiah-9-Wake-Sermon.mp3"
"The Humble King Charles Spurgeon","Sun, 15 Feb 2026 17:48:39 +0000","https://www.fillmorechristian.org/episode/the-humble-king-charles-spurgeon-2/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/02/Febuary-15-2026-Charles-Spurgeon-on-meak-God-.mp3","44609440","audio/Febuary-15-2026-Charles-Spurgeon-on-meak-God-.mp3"
"The Weight of Unresolved Guilt – Ezra 6","Mon, 09 Feb 2026 17:31:44 +0000","https://www.fillmorechristian.org/episode/the-weight-of-unresolved-guilt-ezra-6/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/02/Ezra-6.m4a","12138085","audio/Ezra-6.m4a"
"Faithful Through the Trials","Sun, 11 Jan 2026 17:23:02 +0000","https://www.fillmorechristian.org/episode/faithful-through-the-trials/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2026/01/Daniel-6-Wake-Sermon-January-11-2026-.mp3","28385766","audio/Daniel-6-Wake-Sermon-January-11-2026-.mp3"
"Breathe of Life into Dry Bones","Sun, 14 Dec 2025 17:25:47 +0000","https://www.fillmorechristian.org/episode/breathe-of-life-to-dry-bones/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/12/Ezekiel-Wake-Sermon-December-14-2025.mp3","21798813","audio/Ezekiel-Wake-Sermon-December-14-2025.mp3"
"Micah 4-6 The Hope in the Minor Prophets","Sun, 23 Nov 2025 17:44:36 +0000","https://www.fillmorechristian.org/episode/micah-4-6-the-hope-in-the-minor-prophets/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/11/November-23-2025-Wake-Sermon-Micah-5-6-mp3.mp3","44605270","audio/November-23-2025-Wake-Sermon-Micah-5-6-mp3.mp3"
"Charles Spurgeon on King Hezekiah","Sun, 16 Nov 2025 17:52:39 +0000","https://www.fillmorechristian.org/episode/charles-spurgeon-on-king-hezekiah/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/11/Charles-Spurgeon-November-16-2025-.mp3","54194992","audio/Charles-Spurgeon-November-16-2025-.mp3"
"Hosea","Thu, 06 Nov 2025 12:30:46 +0000","https://www.fillmorechristian.org/episode/hosea/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/11/Wake-Hosea.m4a","14767072","audio/Wake-Hosea.m4a"
"Right in Your Own Eyes","Sun, 18 May 2025 16:56:18 +0000","https://www.fillmorechristian.org/episode/right-in-your-own-eyes/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/05/May-18-2025-Judges-17-21-Right-inYou-Own-Eye-Wake-Sermon.mp3","24645840","audio/May-18-2025-Judges-17-21-Right-inYou-Own-Eye-Wake-Sermon.mp3"
"Judges Summary","Sun, 04 May 2025 16:50:19 +0000","https://www.fillmorechristian.org/episode/judges-summary-2/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/05/5-4-2025-Wake-Sermon-Judges-Summary-.mp3","19679879","audio/5-4-2025-Wake-Sermon-Judges-Summary-.mp3"
"The Downward Spiral","Sun, 27 Apr 2025 16:16:53 +0000","https://www.fillmorechristian.org/episode/the-downward-spiral/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/04/April-27-2025-Judges-2-6-23-Wake-Sermon.mp3","21512405","audio/April-27-2025-Judges-2-6-23-Wake-Sermon.mp3"
"Joshua 25 Charles Spurgeon Sermon","Sun, 13 Apr 2025 17:18:28 +0000","https://www.fillmorechristian.org/episode/joshua-25-charles-spurgeon-sermon/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/04/Wake-Charles-Spurgeon-Joshua-25-.mp3","21851808","audio/Wake-Charles-Spurgeon-Joshua-25-.mp3"
"The Sign of The Covenant","Sun, 23 Mar 2025 16:39:09 +0000","https://www.fillmorechristian.org/episode/the-sign-of-the-covenant/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/03/March-23-2025-Joshua-6-7-Wake-Sermon.mp3","26731400","audio/March-23-2025-Joshua-6-7-Wake-Sermon.mp3"
"The Old Testament Mirror","Sun, 23 Feb 2025 17:41:45 +0000","https://www.fillmorechristian.org/episode/the-old-testament-mirror/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/02/February-23-2025-Wake-Sermon-Numbers-14.mp3","22167157","audio/February-23-2025-Wake-Sermon-Numbers-14.mp3"
"Charles Spurgeon Sermon On the Atonement","Sun, 09 Feb 2025 17:28:06 +0000","https://www.fillmorechristian.org/episode/charles-spurgeon-sermon-on-the-atonement/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/02/Charles-Spurgeon-Atonement-Febuary-9-2025.mp3","28147908","audio/Charles-Spurgeon-Atonement-Febuary-9-2025.mp3"
"The Tabernacle and Christ","Sun, 02 Feb 2025 17:31:31 +0000","https://www.fillmorechristian.org/episode/the-tabernacle-and-christ/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/02/Febuary-2-2025-Exodus-39-40.mp3","24040531","audio/Febuary-2-2025-Exodus-39-40.mp3"
"Exodus 17 – Dehydrated","Sat, 18 Jan 2025 01:53:00 +0000","https://www.fillmorechristian.org/?post_type=podcasts&p=1085","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2025/01/Edited-Dehydration-Sunday-at-10-35-AM.m4a","16483565","audio/Edited-Dehydration-Sunday-at-10-35-AM.m4a"
"Crossing the Red Sea","Sun, 15 Dec 2024 17:35:45 +0000","https://www.fillmorechristian.org/episode/crossing-the-red-sea/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/12/December-15-2024-Crossing-the-Red-Sea.mp3","21814245","audio/December-15-2024-Crossing-the-Red-Sea.mp3"
"Exodus 4-6 Charles Spurgeon Sermon","Sun, 01 Dec 2024 17:30:00 +0000","https://www.fillmorechristian.org/episode/exodus-4-6-charles-spurgeon-sermon/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/12/Exodus4-6-Charles-Spurgeon-read-Wake.mp3","24707149","audio/Exodus4-6-Charles-Spurgeon-read-Wake.mp3"
"The book of Job","Sun, 24 Nov 2024 17:23:34 +0000","https://www.fillmorechristian.org/episode/the-book-of-job-2/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/11/Wake-Sermon-November-24-2024-The-book-of-Job.mp3","20112188","audio/Wake-Sermon-November-24-2024-The-book-of-Job.mp3"
"The Choise of God Jacob and Esau","Sun, 03 Nov 2024 17:41:24 +0000","https://www.fillmorechristian.org/episode/the-choise-of-god-jacob-and-esau/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/11/November-3-2024-wake-sermon-Jacob-and-Esau.mp3","25875505","audio/November-3-2024-wake-sermon-Jacob-and-Esau.mp3"
"Genesis 24 The Master’s Servant Sermon by Charles Spurgeon","Sun, 27 Oct 2024 16:31:27 +0000","https://www.fillmorechristian.org/episode/genesis-24-the-masters-servant/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/10/Genesis-24-October-27-2024.wav","201756716","audio/Genesis-24-October-27-2024.wav"
"Genesis 22 1-19 Alistair Begg Sermon read by Wake","Sun, 20 Oct 2024 16:14:30 +0000","https://www.fillmorechristian.org/episode/genesis-22-1-19-alistair-begg-sermon-read-by-wake/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/10/Genesis-22-1-19-Alistair-Begg-Sermon-read-by-Wake.mp3","26070535","audio/Genesis-22-1-19-Alistair-Begg-Sermon-read-by-Wake.mp3"
"Justified By Faith Genesis 17","Sun, 13 Oct 2024 16:36:09 +0000","https://www.fillmorechristian.org/episode/justified-by-faith-genesis-17/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/10/Genesis-17-October-13-2024-Wake-Sermon.mp3","32314076","audio/Genesis-17-October-13-2024-Wake-Sermon.mp3"
"The Calling Genesis 12 1-9 Charles Spurgeon","Sun, 29 Sep 2024 16:19:27 +0000","https://www.fillmorechristian.org/episode/the-calling-genesis-12-1-9-charles-spurgeon/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/09/Genesis-12-1-9-.mp3","29374638","audio/Genesis-12-1-9-.mp3"
"The Flood: Grace in the Midst of Evil","Sun, 15 Sep 2024 16:31:02 +0000","https://www.fillmorechristian.org/episode/the-flood-grace-in-the-midst-of-evil-2/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/09/September-15-2024-Genesis-6-Wake-Sermon.mp3","38856716","audio/September-15-2024-Genesis-6-Wake-Sermon.mp3"
"Creation Gosple Project Week One","Sun, 25 Aug 2024 16:41:05 +0000","https://www.fillmorechristian.org/episode/creation-gosple-project-week-one/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/08/August-25-2024-Week-1-gosple-project.mp3","31605391","audio/August-25-2024-Week-1-gosple-project.mp3"
"Examine Your Faith","Sun, 14 Jul 2024 16:34:13 +0000","https://www.fillmorechristian.org/episode/examine-your-faith/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/07/Hebrew-11-Wake-Sermon-July-14-2024.mp3","34004844","audio/Hebrew-11-Wake-Sermon-July-14-2024.mp3"
"Endurance By Faith, Through Faith","Sun, 23 Jun 2024 14:19:17 +0000","https://www.fillmorechristian.org/episode/endurance-by-faith-through-faith/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/07/Hebrews-Sunday-at-10-21-AM.m4a","15887505","audio/Hebrews-Sunday-at-10-21-AM.m4a"
"Order of Melchizedek","Sun, 12 May 2024 16:29:50 +0000","https://www.fillmorechristian.org/episode/order-of-melchizedek/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/05/May-12-2024-Wake-Sermon.mp3","35012189","audio/May-12-2024-Wake-Sermon.mp3"
"Hebrew 5:11-6:3","Sun, 21 Apr 2024 16:30:30 +0000","https://www.fillmorechristian.org/episode/hebrew-511-63/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/04/April-21-2024-Hebrews-5-11-6-3.mp3","39273917","audio/April-21-2024-Hebrews-5-11-6-3.mp3"
"Christ Is In All","Sun, 03 Mar 2024 17:23:55 +0000","https://www.fillmorechristian.org/episode/christ-is-in-all/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/03/March3-2024-Hebrews-1-1-14-Wakes-Sermon.mp3","22953665","audio/March3-2024-Hebrews-1-1-14-Wakes-Sermon.mp3"
"Death to Life","Sun, 11 Feb 2024 17:21:43 +0000","https://www.fillmorechristian.org/episode/death-to-life/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2024/02/February-11-2024-Wake-Sermon-Baptism.mp3","31278864","audio/February-11-2024-Wake-Sermon-Baptism.mp3"
"Be Prepared","Sun, 12 Nov 2023 18:40:03 +0000","https://www.fillmorechristian.org/episode/be-prepared/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/11/November-12-2023-Luke-22-35-38-47-53.mp3","21032831","audio/November-12-2023-Luke-22-35-38-47-53.mp3"
"Regret vs Repentance","Sun, 22 Oct 2023 16:20:27 +0000","https://www.fillmorechristian.org/episode/where-is-the-pressure/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/10/October-22-2023-Luke-22-1-6.mp3","29334376","audio/October-22-2023-Luke-22-1-6.mp3"
"Talk the Talk Walk the Walk","Sun, 15 Oct 2023 16:30:01 +0000","https://www.fillmorechristian.org/episode/talk-the-talk-walk-the-walk/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/10/October-15-2023-1-Thessalonians-2-1-12.mp3","23899402","audio/October-15-2023-1-Thessalonians-2-1-12.mp3"
"Church, Be Encouraged","Sun, 01 Oct 2023 16:44:56 +0000","https://www.fillmorechristian.org/episode/church-be-encouraged/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/10/October-1-2023-1Thessalonians-1-1-10.mp3","33206947","audio/October-1-2023-1Thessalonians-1-1-10.mp3"
"Preeminence, Pretense, and Poverty","Sun, 10 Sep 2023 16:13:00 +0000","https://www.fillmorechristian.org/episode/christ-is-preeminent/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/09/September-10-2023-Luke-20-41-47-luke-21-1-4.mp3","26260817","audio/September-10-2023-Luke-20-41-47-luke-21-1-4.mp3"
"What is Your Foundation","Sun, 20 Aug 2023 16:27:11 +0000","https://www.fillmorechristian.org/episode/what-is-your-foundation/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/08/August-20-2023-Luke-20-9-19.mp3","24806423","audio/August-20-2023-Luke-20-9-19.mp3"
"Love is Actionable","Sun, 13 Aug 2023 16:22:52 +0000","https://www.fillmorechristian.org/episode/love-is-actionable-2/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/08/August-13-2023-1-Thessalonians-5-12-18.mp3","28977139","audio/August-13-2023-1-Thessalonians-5-12-18.mp3"
"Living your Life for Eternity Luke 19 11-27","Sun, 23 Jul 2023 16:44:19 +0000","https://www.fillmorechristian.org/episode/living-your-life-for-eternity-luke-19-11-27/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/07/July-16-2023-Luke-19-1-10-Wake-Sermon.mp3","25248274","audio/July-16-2023-Luke-19-1-10-Wake-Sermon.mp3"
"Living Life for Eternity Luke 19 11-27","Sun, 23 Jul 2023 16:41:20 +0000","https://www.fillmorechristian.org/episode/living-life-for-eternity-luke-19-11-27/","","",""
"Let God Use Your Constraints Luke 19 1-10","Sun, 16 Jul 2023 16:19:42 +0000","https://www.fillmorechristian.org/episode/let-god-use-your-constraints-luke-19-1-10/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/07/July-16-2023-Luke-19-1-10-Wake-Sermon.mp3","25248274","audio/July-16-2023-Luke-19-1-10-Wake-Sermon.mp3"
"The Edge of Ourselves","Sun, 25 Jun 2023 16:37:16 +0000","https://www.fillmorechristian.org/episode/our-unworthiness/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/06/June-25-2025-Luke-18-9-17-Wake-Sermon.mp3","26533783","audio/June-25-2025-Luke-18-9-17-Wake-Sermon.mp3"
"Undiverted from Christ","Sun, 04 Jun 2023 16:33:34 +0000","https://www.fillmorechristian.org/episode/undiverted-from-christ/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/06/June-4-2023-Luke-17-11-19.mp3","19232963","audio/June-4-2023-Luke-17-11-19.mp3"
"Relying on the Word of God 1 Thessalonians 2 13-16","Sun, 28 May 2023 16:36:32 +0000","https://www.fillmorechristian.org/episode/relying-on-the-word-of-god-1-thessalonians-2-13-16/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/05/May-28-2023-Isaac-Sermon.mp3","15192389","audio/May-28-2023-Isaac-Sermon.mp3"
"The Danger of Being the Older Brother","Sun, 23 Apr 2023 16:23:14 +0000","https://www.fillmorechristian.org/?post_type=podcasts&p=632","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/04/April-23-2023-Luke-15.mp3","27855089","audio/April-23-2023-Luke-15.mp3"
"Luke 14: 16b-35 Following Christ Whatever the Cost","Sun, 16 Apr 2023 16:20:41 +0000","https://www.fillmorechristian.org/?post_type=podcasts&p=629","","",""
"Luke 13 31-35 God’s Desire and Mission for You","Sun, 26 Mar 2023 16:19:58 +0000","https://www.fillmorechristian.org/?post_type=podcasts&p=621","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/03/March-26-2023-Luke-13-31-35.mp3","24464760","audio/March-26-2023-Luke-13-31-35.mp3"
"Be Ready, Luke 12:35-48","Sun, 12 Feb 2023 16:00:01 +0000","https://www.fillmorechristian.org/?post_type=podcasts&p=603","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2023/02/Be-Ready-Feb-12-2023.mp3","68934681","audio/Be-Ready-Feb-12-2023.mp3"
"The Cost of Pride","Sun, 21 Aug 2022 16:12:56 +0000","https://fcchurch.thechurchco.com/episode/the-cost-of-pride/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b577e6ab3--August_21_2022955uamp3.mp3","26569166","audio/6318b577e6ab3--August_21_2022955uamp3.mp3"
"Killing the Lion","Sun, 24 Jul 2022 16:09:16 +0000","https://fcchurch.thechurchco.com/episode/killing-the-lion/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b57aa233c--July_24_20226e3ovmp3.mp3","36002696","audio/6318b57aa233c--July_24_20226e3ovmp3.mp3"
"From Disciple to Apostles – Luke 9:1-10","Sun, 10 Jul 2022 16:18:23 +0000","https://fcchurch.thechurchco.com/episode/from-disciple-to-apostles-luke-91-10/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b57eaca4d--July_10_20229kvgmmp3.mp3","40921572","audio/6318b57eaca4d--July_10_20229kvgmmp3.mp3"
"The Words of Eternal Life","Sun, 03 Jul 2022 17:02:42 +0000","https://fcchurch.thechurchco.com/episode/the-words-of-eternal-life/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b5822f7be--July_3_20227a9zpmp3.mp3","31164108","audio/6318b5822f7be--July_3_20227a9zpmp3.mp3"
"The Parable of the Soils","Sun, 12 Jun 2022 16:33:47 +0000","https://fcchurch.thechurchco.com/episode/the-parable-of-the-soils/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b58443382--June_12_2022b3a00mp3.mp3","31410519","audio/6318b58443382--June_12_2022b3a00mp3.mp3"
"Reed shaken By the Wind","Sun, 29 May 2022 16:28:10 +0000","https://fcchurch.thechurchco.com/episode/reed-shaken-by-the-wind/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b586479f2--May_29_2022act43mp3.mp3","35966529","audio/6318b586479f2--May_29_2022act43mp3.mp3"
"House on the Rock","Sun, 08 May 2022 16:23:59 +0000","https://fcchurch.thechurchco.com/episode/house-on-the-rock/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b58a0b55b--May_8_202294tbamp3.mp3","35059835","audio/6318b58a0b55b--May_8_202294tbamp3.mp3"
"The Annoying Speck in Your Eye","Sun, 01 May 2022 16:53:22 +0000","https://fcchurch.thechurchco.com/episode/the-annoying-speck-in-your-eye/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b58db14e2--May_1_20228zgqgmp3.mp3","37950270","audio/6318b58db14e2--May_1_20228zgqgmp3.mp3"
"The Path to Joy","Sun, 17 Apr 2022 16:50:08 +0000","https://fcchurch.thechurchco.com/episode/the-path-to-joy/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b58fee3dd--April_17_202291345mp3.mp3","42723644","audio/6318b58fee3dd--April_17_202291345mp3.mp3"
"Are you Poor","Sun, 10 Apr 2022 16:39:46 +0000","https://fcchurch.thechurchco.com/episode/are-you-poor/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b592e2061--April_10_20227zkaxmp3.mp3","35655297","audio/6318b592e2061--April_10_20227zkaxmp3.mp3"
"We must Proclaim God’s Attributes","Sun, 27 Mar 2022 17:39:52 +0000","https://fcchurch.thechurchco.com/episode/we-must-proclaim-gods-attributes/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b59530989--March_27_20227g84xmp3.mp3","29298284","audio/6318b59530989--March_27_20227g84xmp3.mp3"
"God’s Heart","Sun, 20 Mar 2022 16:13:00 +0000","https://fcchurch.thechurchco.com/episode/gods-heart/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b59875ea8--March_20_20226ympomp3.mp3","31309729","audio/6318b59875ea8--March_20_20226ympomp3.mp3"
"Of Hard Hearts and Family","Sun, 13 Mar 2022 16:16:07 +0000","https://fcchurch.thechurchco.com/episode/of-hard-hearts-and-family/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b59a5ff49--March_13_2022bgmx4mp3.mp3","32001984","audio/6318b59a5ff49--March_13_2022bgmx4mp3.mp3"
"Lord, If You Will","Sun, 27 Feb 2022 17:15:31 +0000","https://fcchurch.thechurchco.com/episode/lord-if-you-will/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b59c61a25--February_27_2022_Ken_Sermona7c1imp3.mp3","31702836","audio/6318b59c61a25--February_27_2022_Ken_Sermona7c1imp3.mp3"
"Jesus ’s clam to be the Messiah","Sun, 06 Feb 2022 17:40:56 +0000","https://fcchurch.thechurchco.com/episode/jesus-s-clam-to-be-the-messiah/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b59fc18b4--January_6_202289sctmp3.mp3","27461695","audio/6318b59fc18b4--January_6_202289sctmp3.mp3"
"Jesus the God Man","Sun, 16 Jan 2022 23:37:18 +0000","https://fcchurch.thechurchco.com/episode/jesus-the-god-man/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b5a1dce88--January_16_2022ax4pgmp3.mp3","31455477","audio/6318b5a1dce88--January_16_2022ax4pgmp3.mp3"
"The Visitors and the No-Shows","Sun, 26 Dec 2021 17:53:04 +0000","https://fcchurch.thechurchco.com/episode/the-visitors-and-the-no-shows/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b5a4bc772--December_26_2021_Ken_s_Sermon7ry89mp3.mp3","34309264","audio/6318b5a4bc772--December_26_2021_Ken_s_Sermon7ry89mp3.mp3"
"Joseph and Mary","Wed, 08 Dec 2021 00:12:36 +0000","https://fcchurch.thechurchco.com/episode/joseph-and-mary/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b5a748c85--December_7_2021_Wake_s_Sermon973nkmp3.mp3","44657216","audio/6318b5a748c85--December_7_2021_Wake_s_Sermon973nkmp3.mp3"
"Put on the Lord Jesus Christ","Sun, 29 Aug 2021 17:50:29 +0000","https://fcchurch.thechurchco.com/episode/put-on-the-lord-jesus-christ/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b5abbb0c7--August_29_2021_Ken_Sermona3rbymp3.mp3","43388244","audio/6318b5abbb0c7--August_29_2021_Ken_Sermona3rbymp3.mp3"
"Romans 13: 1-7","Sun, 29 Aug 2021 01:57:24 +0000","https://fcchurch.thechurchco.com/episode/romans-13-1-7/","https://thechurchco-production.s3.amazonaws.com/uploads/sites/6004/2022/09/6318b5b099ca7--August_22_2021_Wake_s_Sermona6g08mp3.mp3","79118796","audio/6318b5b099ca7--August_22_2021_Wake_s_Sermona6g08mp3.mp3"
